id,account_id,occurred_at,standard_qty,gloss_qty,poster_qty,total,standard_amt_usd,gloss_amt_usd,poster_amt_usd,total_amt_usd
6608,2631,2016-12-01,39,121,16,176,194.61,906.29,129.92,1230.82
6609,2641,2016-06-18,0,437,344,781,0,3273.13,2793.28,6066.41
6610,2641,2016-07-17,0,647,0,647,0,4846.03,0,4846.03
6611,2641,2016-08-15,38,611,0,649,189.62,4576.39,0,4766.01
6612,2641,2016-09-14,72,514,268,854,359.28,3849.86,2176.16,6385.3
6613,2641,2016-10-14,4,648,373,1025,19.96,4853.52,3028.76,7902.24
6614,2641,2016-11-12,0,298,784,1082,0,2232.02,6366.08,8598.1
6615,2651,2016-08-19,46,544,349,939,229.54,4074.56,2833.88,7137.98
6616,2651,2016-09-17,0,522,331,853,0,3909.78,2687.72,6597.5
6617,2651,2016-10-16,316,486,285,1087,1576.84,3640.14,2314.2,7531.18
6618,2651,2016-11-14,115,869,314,1298,573.85,6508.81,2549.68,9632.34
6619,2651,2016-12-13,163,327,386,876,813.37,2449.23,3134.32,6396.92
6620,2661,2014-12-10,76,0,159,235,379.24,0,1291.08,1670.32
6621,2661,2015-02-07,0,50,189,239,0,374.5,1534.68,1909.18
6622,2661,2015-04-07,100,58,38,196,499,434.42,308.56,1241.98
6623,2661,2015-10-02,23,13,0,36,114.77,97.37,0,212.14
6624,2661,2015-12-30,0,84,0,84,0,629.16,0,629.16
6625,2661,2016-02-28,0,203,39,242,0,1520.47,316.68,1837.15
6626,2661,2016-03-29,0,46,0,46,0,344.54,0,344.54
6627,2661,2016-04-27,0,0,201,201,0,0,1632.12,1632.12
6628,2661,2016-07-25,66,3,0,69,329.34,22.47,0,351.81
6629,2661,2016-09-23,30,522,55,607,149.7,3909.78,446.6,4506.08
6630,2661,2016-10-23,0,24,297,321,0,179.76,2411.64,2591.4
6631,2661,2016-11-21,42,36,57,135,209.58,269.64,462.84,942.06
6632,2671,2014-12-10,559,687,198,1444,2789.41,5145.63,1607.76,9542.8
6633,2671,2015-01-09,529,645,262,1436,2639.71,4831.05,2127.44,9598.2
6634,2671,2015-02-08,527,559,190,1276,2629.73,4186.91,1542.8,8359.44
6635,2671,2015-03-10,520,611,210,1341,2594.8,4576.39,1705.2,8876.39
6636,2681,2016-05-22,0,188,87,275,0,1408.12,706.44,2114.56
6637,2681,2016-06-21,0,36,0,36,0,269.64,0,269.64
6638,2681,2016-07-21,97,0,36,133,484.03,0,292.32,776.35
6639,2681,2016-08-20,33,0,0,33,164.67,0,0,164.67
6640,2681,2016-11-16,14,0,35,49,69.86,0,284.2,354.06
6641,2681,2016-12-15,164,770,54,988,818.36,5767.3,438.48,7024.14
6642,2691,2015-01-06,432,615,260,1307,2155.68,4606.35,2111.2,8873.23
6643,2691,2015-03-06,529,626,200,1355,2639.71,4688.74,1624,8952.45
6644,2701,2016-12-04,16,389,243,648,79.84,2913.61,1973.16,4966.61
6645,2711,2016-08-06,35,474,261,770,174.65,3550.26,2119.32,5844.23
6646,2711,2016-10-04,42,311,0,353,209.58,2329.39,0,2538.97
6647,2711,2016-12-02,0,614,310,924,0,4598.86,2517.2,7116.06
6648,2711,2016-12-31,367,531,286,1184,1831.33,3977.19,2322.32,8130.84
6649,2721,2015-01-03,17,103,136,256,84.83,771.47,1104.32,1960.62
6650,2721,2015-03-03,0,24,101,125,0,179.76,820.12,999.88
6651,2721,2015-04-02,147,187,61,395,733.53,1400.63,495.32,2629.48
6652,2721,2015-05-02,0,88,82,170,0,659.12,665.84,1324.96
6653,2721,2015-05-31,0,215,0,215,0,1610.35,0,1610.35
6654,2721,2015-06-30,0,75,92,167,0,561.75,747.04,1308.79
6655,2721,2015-07-30,17,34,0,51,84.83,254.66,0,339.49
6656,2721,2015-08-28,0,715,0,715,0,5355.35,0,5355.35
6657,2721,2015-10-26,19,0,126,145,94.81,0,1023.12,1117.93
6658,2721,2015-11-24,35,121,109,265,174.65,906.29,885.08,1966.02
6659,2721,2015-12-24,26,134,0,160,129.74,1003.66,0,1133.4
6660,2721,2016-01-22,22,137,0,159,109.78,1026.13,0,1135.91
6661,2721,2016-02-21,0,0,22,22,0,0,178.64,178.64
6662,2721,2016-08-15,0,1211,67,1278,0,9070.39,544.04,9614.43
6663,2731,2014-12-12,57,67,0,124,284.43,501.83,0,786.26
6664,2731,2015-01-10,0,0,0,0,0,0,0,0
6665,2731,2015-02-08,44,352,0,396,219.56,2636.48,0,2856.04
6666,2731,2015-05-07,0,0,32,32,0,0,259.84,259.84
6667,2731,2015-06-06,0,34,221,255,0,254.66,1794.52,2049.18
6668,2731,2015-08-03,65,151,852,1068,324.35,1130.99,6918.24,8373.58
6669,2731,2015-09-02,0,55,0,55,0,411.95,0,411.95
6670,2731,2015-10-02,0,26,152,178,0,194.74,1234.24,1428.98
6671,2731,2015-12-30,0,0,93,93,0,0,755.16,755.16
6672,2731,2016-01-29,0,6,135,141,0,44.94,1096.2,1141.14
6673,2731,2016-02-27,0,0,22,22,0,0,178.64,178.64
6674,2731,2016-05-25,177,0,33,210,883.23,0,267.96,1151.19
6675,2731,2016-06-24,0,0,0,0,0,0,0,0
6676,2731,2016-08-21,0,0,0,0,0,0,0,0
6677,2731,2016-10-20,0,65,1800,1865,0,486.85,14616,15102.85
6678,2731,2016-11-19,0,0,58,58,0,0,470.96,470.96
6679,2731,2016-12-18,46,104,69,219,229.54,778.96,560.28,1568.78
6680,2741,2016-02-07,1,167,448,616,4.99,1250.83,3637.76,4893.58
6681,2741,2016-03-07,0,0,118,118,0,0,958.16,958.16
6682,2741,2016-05-05,0,63,0,63,0,471.87,0,471.87
6683,2741,2016-08-02,41,41,52,134,204.59,307.09,422.24,933.92
6684,2741,2016-08-31,0,99,0,99,0,741.51,0,741.51
6685,2741,2016-09-30,56,0,60,116,279.44,0,487.2,766.64
6686,2741,2016-10-30,104,0,235,339,518.96,0,1908.2,2427.16
6687,2741,2016-12-28,27,109,63,199,134.73,816.41,511.56,1462.7
6688,2751,2014-12-16,0,453,336,789,0,3392.97,2728.32,6121.29
6689,2751,2015-01-14,0,497,313,810,0,3722.53,2541.56,6264.09
6690,2751,2015-03-13,0,469,324,793,0,3512.81,2630.88,6143.69
6691,2751,2015-04-12,166,486,439,1091,828.34,3640.14,3564.68,8033.16
6692,2751,2015-05-11,0,67,432,499,0,501.83,3507.84,4009.67
6693,2751,2015-06-09,46,0,425,471,229.54,0,3451,3680.54
6694,2751,2015-07-09,56,539,30,625,279.44,4037.11,243.6,4560.15
6695,2751,2015-08-08,224,526,363,1113,1117.76,3939.74,2947.56,8005.06
