id,name,website,lat,lon,primary_poc,sales_rep_id
1001,Walmart,www.walmart.com,48.871632,-103.3255778,Tamara Tuma,321500
1011,Exxon Mobil,www.exxonmobil.com,48.871632,-103.3255778,Sung Shields,321510
1021,Apple,www.apple.com,48.83299483,-102.5287273,Jodee Lupo,321520
1031,Berkshire Hathaway,www.berkshirehathaway.com,48.79904533,-118.399775,Serafina Banda,321530
1041,McKesson,www.mckesson.com,48.78231411,-95.81781633,Angeles Crusoe,321540
1051,UnitedHealth Group,www.unitedhealthgroup.com,48.77516543,-111.6841356,Savanna Gayman,321550
1061,CVS Health,www.cvshealth.com,48.76275342,-97.55776842,Anabel Haskell,321560
1071,General Motors,www.gm.com,48.871632,-103.3255778,Barrie Omeara,321570
1081,Ford Motor,www.ford.com,48.83299483,-102.5287273,Kym Hagerman,321580
1091,AT&T,www.att.com,48.79904533,-118.399775,Jamel Mosqueda,321590
1101,General Electric,www.ge.com,48.78231411,-95.81781633,Parker Hoggan,321600
1111,AmerisourceBergen,www.amerisourcebergen.com,48.77516543,-111.6841356,Tuan Trainer,321610
1121,Verizon,www.verizon.com,48.76275342,-97.55776842,Chantell Drescher,321620
1131,Chevron,www.chevron.com,48.7487126,-96.8359255,Paige Bartos,321630
1141,Costco,www.costco.com,48.7412212,-116.4178416,Dominique Favela,321640
1151,Fannie Mae,www.fanniemae.com,48.70141678,-104.5235512,Terrilyn Kesler,321650
1161,Kroger,www.thekrogerco.com,48.60112071,-115.3168613,Nannie Brinkman,321660
1171,Amazon.com,www.amazon.com,48.54870325,-111.1854348,Buffy Azure,321670
1181,Walgreens Boots Alliance,www.walgreensbootsalliance.com,48.52718067,-117.309281,Esta Engelhardt,321680
1191,HP,www.hp.com,48.44337705,-119.6476043,Khadijah Riemann,321690
1201,Cardinal Health,www.cardinal.com,48.41996136,-106.4218871,Deanne Hertlein,321700
1211,Express Scripts Holding,www.express-scripts.com,48.34910658,-97.722195,Jewell Likes,321500
1221,J.P. Morgan Chase,www.jpmorganchase.com,48.3123126,-98.7040032,Florentino Madrigal,321510
1231,Boeing,www.boeing.com,48.29694756,-116.6208583,Melva Lyall,321520
1241,Microsoft,www.microsoft.com,48.289588,-117.8890974,Dennise Hungate,321530
1251,Bank of America Corp.,www.bankofamerica.com,48.23653335,-101.5317849,Janise Voth,321540
1261,Wells Fargo,www.wellsfargo.com,48.22529625,-104.7741643,Lakenya Volker,321550
1271,Home Depot,www.homedepot.com,48.17561777,-100.6453878,Alexandria Zielke,321560
1281,Citigroup,www.citigroup.com,48.13259129,-122.563718,Bea Sera,321570
1291,Phillips 66,www.phillips66.com,48.10509992,-99.30900475,Maria Garibay,321580
1301,IBM,www.ibm.com,47.94211432,-97.44176768,Denis Gros,321590
1311,Valero Energy,www.valero.com,47.92621415,-122.0211906,Taylor Capone,321600
1321,Anthem,www.antheminc.com,47.86900857,-94.87136886,Hanh Oram,321610
